time_s,current_Acm2,charge_Ccm2,T1_C,T2_C,T3_C,T4_C,T5_C,V1_V,V2_V,V3_V,V4_V,V5_V,ice1,ice2,ice3,ice4,ice5,E1_J,E2_J,E3_J,E4_J,E5_J,leftEndplate_C,rightEndplate_C
25,0.125,1.56250008624467,-3.54286594060727,10.150462489405,14.6419832003705,10.1528168213671,-3.53861040425062,0.787353157571034,0.781068176554762,0.782948801906315,0.780146429937601,0.78433743207554,0.0933946473529678,1.6461868646473e-06,1.27653295349133e-07,1.82797142550036e-06,0.0860901376907448,625,625,625,625,625,-21.5127385376331,-21.5119294474316
25.5,0.1275,1.62562508624467,-3.1935497177156,10.5838952522943,15.1062325269083,10.5863700979543,-3.18917438258478,0.78495594062367,0.782072695325875,0.783481130501173,0.781085489105126,0.781697322494189,0.0963324548206763,9.98462826541789e-07,7.74256391097246e-08,1.10872073853764e-06,0.0891511134836789,637.5,637.5,637.5,637.5,637.5,-21.2654268152878,-21.264569564482
26,0.13,1.69000008624467,-2.84593292034089,11.0124142994525,15.5645169002965,11.0150084240068,-2.84140105984665,0.78245315921562,0.783340439620362,0.783910780782989,0.782329253972177,0.778969277721665,0.0993731036558985,6.05598296585913e-07,4.6961022397477e-08,6.72473098446162e-07,0.0923305402979008,650,650,650,650,650,-21.016835720461,-21.0159290814444
26.5,0.1325,1.75562508681896,-2.49993403096136,11.4362790473323,16.0171486857545,11.438983636728,-2.49521268303852,0.779834680390631,0.784610490868906,0.784225907698478,0.783720269267131,0.776170044457777,0.102528962966486,3.67313985187277e-07,2.84833038403776e-08,4.07875608505882e-07,0.0955910785899075,662.5,662.5,662.5,662.5,662.5,-20.7670066149972,-20.7660488926643
27,0.135,1.82250008704045,-2.1554670472035,11.8557963315291,16.464431547999,11.8585580130562,-2.15052983868856,0.777091303934139,0.785592000374409,0.784428888989265,0.785125086715177,0.773304377908429,0.105810565133863,2.22787143611659e-07,1.72759931655017e-08,2.47389006214034e-07,0.0989146240543223,675,675,675,675,675,-20.515979111872,-20.5149682200023
27.5,0.1375,1.89062508704045,-1.81244048908678,12.2712624089161,16.9066660219175,12.2740225104885,-1.80726925333272,0.77421484726824,0.786321217517463,0.7845262326498,0.786160392965001,0.770371078750353,0.109225810865302,1.35127238110044e-07,1.0478419909532e-08,1.50049022612954e-07,0.102293032792809,687.5,687.5,687.5,687.5,687.5,-20.2637910204345,-20.26272459662
28,0.14,1.96000008704046,-1.47076652167101,12.6829419644501,17.3441506410084,12.6856868699181,-1.46534074172723,0.771201762487005,0.786849777553211,0.784526342456576,0.786858242749358,0.767366359773652,0.112778970528401,8.19588148923013e-08,6.35548310743585e-09,9.1009334915251e-08,0.10572206311774,700,700,700,700,700,-20.0104783402427,-20.0093538159005
28.5,0.1425,2.03062508704046,-1.13055236799659,13.0910679702407,17.7771757480386,13.0938182326987,-1.12464995203055,0.768174973644297,0.787216176069375,0.784438213388682,0.787305157456229,0.764285226203544,0.116454856107136,4.97105379545938e-08,3.85479566463547e-09,5.51999563430419e-08,0.109198321002398,712.5,712.5,712.5,712.5,712.5,-19.7560760431237,-19.7548898725907
29,0.145,2.10250008704047,-0.794465571141359,13.4957118733769,18.2060112791806,13.4986504355187,-0.785105457335419,0.766947246539025,0.78744841154726,0.784270691717112,0.787569839810541,0.761124056400886,0.119632041615526,3.01509653717405e-08,2.33805174641178e-09,3.34804659244397e-08,0.112702497987755,725,725,725,725,725,-19.5006326643316,-19.4993649710313
29.5,0.1475,2.17562508704047,-0.468545667138358,13.8963282092683,18.6308586077922,13.9003876339861,-0.446722512395127,0.771848824579896,0.787568182777891,0.784032139014835,0.787695504316392,0.757980294329643,0.110312536543295,1.82874818901639e-08,1.41809983273086e-09,2.0306925717784e-08,0.115725872809237,737.5,737.5,737.5,737.5,737.5,-19.2442643498607,-19.2428099804591
30,0.15,2.25000009347649,-0.147873416277037,14.2923257243159,19.0517997325454,14.2991085536166,-0.11155396859175,0.779037847736305,0.787592337110852,0.783730306980838,0.787710626285267,0.756316753598176,0.0743950077162949,1.1091932311001e-08,8.60122109268844e-10,1.23167884388575e-08,0.108520621403595,750,750,750,750,750,-18.9871109892399,-18.9852642796955
30.2436885655778,0.151218442827889,2.28670183860564,0.0100000000001046,14.4838570976397,19.255554230945,14.4922039945523,0.0484086755876092,0.781404669690569,0.78757316759415,0.783562392647322,0.787684273363987,0.757464562999143,0.0586022408267615,8.69309870851161e-09,6.74104899436988e-10,9.65305725506269e-09,0.0933454724125328,756.092214139446,756.092214139446,756.092214139446,756.092214139446,756.092214139446,-18.8615009214337,-18.8594116158516
